h_str,a_str,hth,h_poise,a_poise,result
81.3,75.9,2.2,0.2,2.0,WIN
75.7,76.8,1.6,1.4,0.5,WIN
76.5,83.1,1.0,2.6,2.0,LOSE
74.0,80.7,2.0,2.2,0.0,WIN
79.9,83.2,2.2,1.4,0.0,DRAW
76.5,74.6,0.6,0.2,0,WIN
76.3,80.3,2.0,0.2,1.0,WIN
74.3,75.5,0.8,0.8,0,DRAW
75.5,75.3,0.8,0.6,0.5,WIN
83.1,77.1,2.2,1.6,2.0,WIN
73.8,73.5,1.8,0.8,0,WIN
78.1,81.8,1.6,2.4,2.0,WIN
82.8,75.7,2.4,1.2,2.0,WIN
83.2,82.0,1.4,1.2,1.5,WIN
76.5,75.2,2.0,0.8,0,WIN
81.2,78.5,2.6,0.8,0.0,DRAW
74.1,78.3,2.0,0.2,1.0,WIN
80.4,82.8,1.8,2.6,0.0,WIN
76.5,80.5,1.2,2.0,0,LOSE
75.7,82.6,1.4,2.4,1.5,LOSE
78.3,73.5,1.0,0.2,0,WIN
75.5,83.4,1.2,1.0,0.5,LOSE
76.5,75.7,2.0,0.2,0.5,WIN
83.5,75.1,1.2,0.8,3.0,WIN
77.1,77.6,2.0,1.0,1.5,DRAW
81.8,74.3,2.6,0.0,0,WIN
75.8,83.0,0.6,3.0,1.5,LOSE
76.5,75.5,1.2,0.2,0,WIN
78.3,75.0,1.6,0.0,0,WIN
76.9,78.2,2.0,0.2,0.5,DRAW
74.3,76.8,1.4,0.8,0.5,WIN
75.7,82.5,2.0,1.6,1.5,LOSE
74.3,75.8,2.0,0.6,1.5,LOSE
82.5,82.3,1.2,2.0,0.5,WIN
80.3,73.3,2.6,0.2,0,WIN
79.9,80.5,1.8,2.0,0.5,LOSE
74.9,78.7,1.6,0.2,3.0,LOSE
76.4,75.8,2.0,0.4,1.5,DRAW
75.1,78.5,1.4,1.0,2.0,LOSE
82.7,75.3,1.4,0.6,1.5,WIN
82.3,76.0,2.2,1.0,1.5,WIN
73.1,76.3,1.8,0.8,0,WIN
83.6,73.5,3.0,0.8,1.5,WIN
75.0,83.1,1.0,1.8,0,LOSE
80.5,76.4,2.2,1.6,3.0,WIN
77.5,81.5,2.0,0.6,1.5,LOSE
75.0,80.5,1.0,0.6,0,DRAW
76.4,78.5,1.4,1.0,2.0,WIN
83.6,76.1,1.8,0.6,0,WIN
73.9,75.5,2.4,0.6,0,WIN
83.2,76.9,3.0,1.4,0.5,WIN
75.5,74.8,1.4,0.8,2.0,LOSE
76.6,74.2,1.4,0.6,0.5,LOSE
80.5,83.5,2.6,2.4,3.0,WIN
